so_origen;Latencia_Media;Latencia_Desv;Latencia_Min;Latencia_Max;TTL_Moda;TTL_Media;TTL_Desv
LINUX;8605.491658580862;16341.867565685374;649;205773;54;83.74190115496573;51.35478801254138
WINDOWS;12333.518745270689;21321.91259405423;694;215323;117;93.081791291188;54.276888108124886
