so_real;Latencia_Media;Latencia_Desv;Latencia_Min;Latencia_Max;TTL_Moda;TTL_Media;TTL_Desv
LINUX;549.3710601270775;1453.5341103819674;66;117500;64;64.0;0.0
WINDOWS;311.7574465157873;3238.7091569565364;84;372910;128;128.0;0.0
