navegador;Latencia_Media;Latencia_Desv;Latencia_Min;Latencia_Max;TTL_Moda;TTL_Media;TTL_Desv
CHROME;374.75419876247;729.4741728991703;87;79548;64;84.76221745169845;29.962792391323003
EDGE;434.41726123419704;3354.175022089369;82;372910;64;82.66165978220053;29.08851383109758
FIREFOX;627.6344921608726;1473.0620627667508;66;66533;64;84.67893660531698;29.931498349670846
