navegador;Latencia_Media;Latencia_Desv;Latencia_Min;Latencia_Max;TTL_Moda;TTL_Media;TTL_Desv
CHROME;8921.847897461801;17765.398265963846;658;208486;117;100.81133981563329;49.58886234081113
EDGE;12333.794905495055;18581.30979711161;649;215323;51;79.04787833270747;54.23410663185428
FIREFOX;7897.451465576006;17702.0850616249;651;192840;54;79.68118609406953;50.35924925071092
